Epoch,Train_KD_Loss,Val_Accuracy,Learning_Rate,Time_sec
1,0.9340,2.58,0.000499,2900.2
2,0.9093,3.84,0.000495,2879.6
3,0.8950,5.32,0.000488,2876.2
4,0.8842,6.32,0.000478,2870.3
5,0.8754,7.06,0.000467,2861.7
6,0.8681,8.18,0.000452,2861.6
7,0.8608,8.85,0.000436,2862.3
8,0.8552,9.47,0.000417,2859.3
9,0.8503,9.90,0.000397,2858.8
10,0.8456,10.92,0.000375,2860.1
11,0.8405,11.17,0.000352,2914.1
12,0.8370,11.56,0.000327,2905.6
13,0.8336,12.01,0.000302,2872.6
14,0.8307,11.96,0.000276,2871.8
15,0.8283,12.36,0.000250,2870.0
16,0.8266,12.61,0.000224,2870.6
17,0.8237,13.16,0.000198,2870.1
18,0.8229,12.88,0.000173,2869.6
19,0.8219,13.22,0.000148,2871.7
20,0.8207,13.36,0.000125,2871.2
21,0.8191,13.50,0.000103,2874.4
22,0.8178,13.80,0.000083,2886.5
23,0.8171,13.84,0.000064,2870.2
24,0.8165,13.91,0.000048,2869.4
25,0.8157,13.92,0.000033,2879.3
