Epoch,Train_Cosine_Loss,Val_Cosine_Sim,Learning_Rate,Time_sec
1,0.2610,0.7645,0.000495,2927.3
2,0.2377,0.7779,0.000478,2967.7
3,0.2294,0.7821,0.000452,3109.5
4,0.2236,0.7896,0.000417,3056.2
5,0.2190,0.7940,0.000375,3008.9
6,0.2157,0.7972,0.000327,2986.1
7,0.2135,0.8002,0.000276,2964.5
8,0.2118,0.7960,0.000224,3026.5
9,0.2105,0.8018,0.000173,3054.0
10,0.2094,0.8032,0.000125,2958.3
11,0.2088,0.8039,0.000083,2991.9
12,0.2080,0.8042,0.000048,2986.9
13,0.2074,0.8051,0.000022,2982.2
14,0.2066,0.8057,0.000005,2985.2
15,0.2060,0.8062,0.000000,2982.0
