Epoch,Train_Cosine_Loss,Val_Cosine_Sim,Learning_Rate,Time_sec
1,0.2607,0.7640,0.000495,2905.0
2,0.2388,0.7774,0.000478,2904.7
3,0.2302,0.7826,0.000452,2907.7
4,0.2250,0.7883,0.000417,2895.9
5,0.2212,0.7926,0.000375,2876.6
6,0.2177,0.7967,0.000327,2877.8
7,0.2152,0.7980,0.000276,2875.1
8,0.2139,0.7984,0.000224,2876.4
9,0.2128,0.7999,0.000173,2876.0
10,0.2123,0.7996,0.000125,2875.4
11,0.2119,0.7991,0.000083,2876.9
12,0.2110,0.8011,0.000048,2877.8
13,0.2106,0.8026,0.000022,2878.7
14,0.2100,0.8022,0.000005,2943.2
15,0.2094,0.8024,0.000000,2940.3
