Epoch,Train_Cosine_Loss,Val_Cosine_Sim,Learning_Rate,Time_sec
1,0.1402,0.8929,0.000099,2837.4
2,0.1165,0.8996,0.000096,2822.6
3,0.1119,0.9022,0.000090,2795.3
4,0.1093,0.9044,0.000083,2795.1
5,0.1073,0.9058,0.000075,2807.5
6,0.1059,0.9068,0.000065,2848.4
7,0.1047,0.9079,0.000055,2819.6
8,0.1038,0.9086,0.000045,2803.3
9,0.1030,0.9091,0.000035,2792.4
10,0.1025,0.9095,0.000025,2789.4
11,0.1021,0.9097,0.000017,2788.4
12,0.1019,0.9098,0.000010,2804.7
13,0.1019,0.9098,0.000004,2797.2
14,0.1019,0.9099,0.000001,2805.1
15,0.1018,0.9098,0.000000,2786.8
