Epoch,Train_Loss,Val_Accuracy,Learning_Rate,Time_sec
6,1.0438,76.04,0.000010,2516.2
7,1.0138,76.15,0.000009,2497.5
8,1.0122,76.18,0.000008,2490.5
9,1.0086,76.16,0.000007,2485.4
10,1.0020,76.17,0.000005,2485.5
11,0.9999,76.10,0.000003,2609.8
12,0.9991,76.15,0.000002,2595.7
13,0.9985,76.12,0.000001,2596.1
14,0.9968,76.12,0.000000,2585.5
15,0.9993,76.14,0.000000,2580.4
16,1.0017,76.14,0.000000,2580.1
17,0.9992,76.11,0.000001,2585.5
18,0.9984,76.12,0.000002,2595.8
19,1.0001,76.09,0.000003,2585.5
20,1.0005,76.10,0.000005,2596.6
21,1.0001,76.16,0.000007,2628.7
22,1.0018,76.12,0.000008,2660.9
23,1.0035,76.14,0.000009,2628.7
24,1.0070,76.09,0.000010,2607.5
25,1.0129,76.02,0.000010,2604.1
26,1.0104,76.08,0.000010,2582.2
27,1.0089,76.17,0.000009,2581.7
28,1.0081,76.07,0.000008,2582.0
29,1.0049,76.14,0.000007,2583.5
30,1.0032,76.12,0.000005,2582.4
