claim_id,category,claim,value,unit,experiment_version,dataset_split,model,precision,runtime,hardware,source_file,source_location,verification_status,notes
DS001,training,argmax mAP50-95 row: epoch,54,epoch,edge_sign_v2_v2split,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v2_v2split/results.csv,line 55 (epoch=54); scanned lines 2-75,VERIFIED_RAW,
DS002,training,argmax mAP50-95 row: metrics/mAP50(B),0.5917,ratio,edge_sign_v2_v2split,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v2_v2split/results.csv,line 55 (epoch=54); scanned lines 2-75,VERIFIED_RAW,
DS003,training,argmax mAP50-95 row: metrics/mAP50-95(B),0.38366,ratio,edge_sign_v2_v2split,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v2_v2split/results.csv,line 55 (epoch=54); scanned lines 2-75,VERIFIED_RAW,
DS004,training,argmax mAP50-95 row: metrics/precision(B),0.70214,ratio,edge_sign_v2_v2split,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v2_v2split/results.csv,line 55 (epoch=54); scanned lines 2-75,VERIFIED_RAW,
DS005,training,argmax mAP50-95 row: metrics/recall(B),0.53488,ratio,edge_sign_v2_v2split,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v2_v2split/results.csv,line 55 (epoch=54); scanned lines 2-75,VERIFIED_RAW,
DS006,training,completed CSV epochs,74,epochs,edge_sign_v2_v2split,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v2_v2split/results.csv,lines 2-75,VERIFIED_RAW,
DS007,training,argmax mAP50-95 row: epoch,29,epoch,edge_sign_v3_lights-4,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v3_lights-4/results.csv,line 30 (epoch=29); scanned lines 2-35,VERIFIED_RAW,
DS008,training,argmax mAP50-95 row: metrics/mAP50(B),0.77611,ratio,edge_sign_v3_lights-4,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v3_lights-4/results.csv,line 30 (epoch=29); scanned lines 2-35,VERIFIED_RAW,
DS009,training,argmax mAP50-95 row: metrics/mAP50-95(B),0.4457,ratio,edge_sign_v3_lights-4,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v3_lights-4/results.csv,line 30 (epoch=29); scanned lines 2-35,VERIFIED_RAW,
DS010,training,argmax mAP50-95 row: metrics/precision(B),0.79444,ratio,edge_sign_v3_lights-4,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v3_lights-4/results.csv,line 30 (epoch=29); scanned lines 2-35,VERIFIED_RAW,
DS011,training,argmax mAP50-95 row: metrics/recall(B),0.73696,ratio,edge_sign_v3_lights-4,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v3_lights-4/results.csv,line 30 (epoch=29); scanned lines 2-35,VERIFIED_RAW,
DS012,training,completed CSV epochs,34,epochs,edge_sign_v3_lights-4,val,yolov8s.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v3_lights-4/results.csv,lines 2-35,VERIFIED_RAW,
DS013,training,argmax mAP50-95 row: epoch,28,epoch,edge_sign_v4,val,yolo26n.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v4/results.csv,line 29 (epoch=28); scanned lines 2-41,VERIFIED_RAW,
DS014,training,argmax mAP50-95 row: metrics/mAP50(B),0.75611,ratio,edge_sign_v4,val,yolo26n.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v4/results.csv,line 29 (epoch=28); scanned lines 2-41,VERIFIED_RAW,
DS015,training,argmax mAP50-95 row: metrics/mAP50-95(B),0.42567,ratio,edge_sign_v4,val,yolo26n.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v4/results.csv,line 29 (epoch=28); scanned lines 2-41,VERIFIED_RAW,
DS016,training,argmax mAP50-95 row: metrics/precision(B),0.79293,ratio,edge_sign_v4,val,yolo26n.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v4/results.csv,line 29 (epoch=28); scanned lines 2-41,VERIFIED_RAW,
DS017,training,argmax mAP50-95 row: metrics/recall(B),0.69365,ratio,edge_sign_v4,val,yolo26n.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v4/results.csv,line 29 (epoch=28); scanned lines 2-41,VERIFIED_RAW,
DS018,training,completed CSV epochs,40,epochs,edge_sign_v4,val,yolo26n.pt,not established,Ultralytics/PyTorch,not established,runs/detect/edge_sign_v4/results.csv,lines 2-41,VERIFIED_RAW,
DS019,conflict,v2 claimed best ep56 vs max mAP95 ep54,,,multiple,val,,,,not established,README.md,"406-408; runs/detect/edge_sign_v2_v2split/results.csv:55,57",CONFLICT,
DS020,conflict,v4 document .748 vs best validation .756,,,multiple,val,,,,not established,docs/EXPERIMENTS.md,390; logs/train_v4.log:67077,CONFLICT,
DS021,dataset,current JPG count,39937,images,yolo_signs,train,,,,not established,data/yolo_signs/images/train,glob *.jpg; 2026-09-23 snapshot,VERIFIED_RAW,
DS022,dataset,current JPG count,7167,images,yolo_signs,val,,,,not established,data/yolo_signs/images/val,glob *.jpg; 2026-09-23 snapshot,VERIFIED_RAW,
DS023,dataset,current JPG count,44696,images,yolo_signs_v1,train,,,,not established,data/yolo_signs_v1/images/train,glob *.jpg; 2026-09-23 snapshot,VERIFIED_RAW,
DS024,dataset,current JPG count,4667,images,yolo_signs_v1,val,,,,not established,data/yolo_signs_v1/images/val,glob *.jpg; 2026-09-23 snapshot,VERIFIED_RAW,
DS025,dataset,current JPG count,12375,images,yolo_signs_v2,train,,,,not established,data/yolo_signs_v2/images/train,glob *.jpg; 2026-09-23 snapshot,VERIFIED_RAW,
DS026,dataset,current JPG count,1903,images,yolo_signs_v2,val,,,,not established,data/yolo_signs_v2/images/val,glob *.jpg; 2026-09-23 snapshot,VERIFIED_RAW,
DS027,dataset,current sequence JPG count,5000,images,aihub_current,train,,,,not established,data/aihub_traffic/train/images/c_validation_1280_720_daylight_1,glob *.jpg,VERIFIED_RAW,c_validation_1280_720_daylight_1
DS028,dataset,current sequence JPG count,5000,images,aihub_current,train,,,,not established,data/aihub_traffic/train/images/c_validation_1280_720_daylight_2,glob *.jpg,VERIFIED_RAW,c_validation_1280_720_daylight_2
DS029,dataset,current sequence JPG count,1093,images,aihub_current,train,,,,not established,data/aihub_traffic/train/images/c_validation_1280_720_daylight_3,glob *.jpg,VERIFIED_RAW,c_validation_1280_720_daylight_3
DS030,dataset,current sequence JPG count,142,images,aihub_current,train,,,,not established,data/aihub_traffic/train/images/c_validation_1280_720_night_1,glob *.jpg,VERIFIED_RAW,c_validation_1280_720_night_1
DS031,dataset,current sequence JPG count,2152,images,aihub_current,train,,,,not established,data/aihub_traffic/train/images/c_validation_1920_1200_daylight_1,glob *.jpg,VERIFIED_RAW,c_validation_1920_1200_daylight_1
DS032,dataset,current sequence JPG count,2500,images,aihub_current,val,,,,not established,data/aihub_traffic/val/images/d_validation_1920_1080_daylight_1,glob *.jpg,VERIFIED_RAW,d_validation_1920_1080_daylight_1
DS033,dataset,current sequence JPG count,184,images,aihub_current,val,,,,not established,data/aihub_traffic/val/images/d_validation_1920_1080_night_1,glob *.jpg,VERIFIED_RAW,d_validation_1920_1080_night_1
DS034,dataset,current sequence JPG count,16,images,aihub_current,test,,,,not established,data/aihub_traffic/test/images/c_validation_1920_1200_night_1,glob *.jpg,VERIFIED_RAW,c_validation_1920_1200_night_1
DS035,dataset,current sequence JPG count,2401,images,aihub_current,test,,,,not established,data/aihub_traffic/test/images/d_validation_1920_1080_daylight_2,glob *.jpg,VERIFIED_RAW,d_validation_1920_1080_daylight_2
DS036,dataset,class0_object_count,45416,raw YOLO label rows,yolo_signs,train,,,,,data/yolo_signs/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS037,dataset,class1_object_count,93329,raw YOLO label rows,yolo_signs,train,,,,,data/yolo_signs/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS038,dataset,object_count,138745,raw YOLO label rows,yolo_signs,train,,,,,data/yolo_signs/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS039,dataset,class0_object_count,9115,raw YOLO label rows,yolo_signs,val,,,,,data/yolo_signs/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS040,dataset,class1_object_count,15171,raw YOLO label rows,yolo_signs,val,,,,,data/yolo_signs/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS041,dataset,object_count,24286,raw YOLO label rows,yolo_signs,val,,,,,data/yolo_signs/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS042,dataset,class0_object_count,60152,raw YOLO label rows,yolo_signs_v1,train,,,,,data/yolo_signs_v1/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS043,dataset,class1_object_count,93329,raw YOLO label rows,yolo_signs_v1,train,,,,,data/yolo_signs_v1/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS044,dataset,object_count,153481,raw YOLO label rows,yolo_signs_v1,train,,,,,data/yolo_signs_v1/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS045,dataset,class0_object_count,943,raw YOLO label rows,yolo_signs_v1,val,,,,,data/yolo_signs_v1/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS046,dataset,class1_object_count,15171,raw YOLO label rows,yolo_signs_v1,val,,,,,data/yolo_signs_v1/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS047,dataset,object_count,16114,raw YOLO label rows,yolo_signs_v1,val,,,,,data/yolo_signs_v1/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS048,dataset,class0_object_count,21637,raw YOLO label rows,yolo_signs_v2,train,,,,,data/yolo_signs_v2/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS049,dataset,class1_object_count,22040,raw YOLO label rows,yolo_signs_v2,train,,,,,data/yolo_signs_v2/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS050,dataset,object_count,43677,raw YOLO label rows,yolo_signs_v2,train,,,,,data/yolo_signs_v2/labels/train/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS051,dataset,class0_object_count,4318,raw YOLO label rows,yolo_signs_v2,val,,,,,data/yolo_signs_v2/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS052,dataset,class1_object_count,4305,raw YOLO label rows,yolo_signs_v2,val,,,,,data/yolo_signs_v2/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
DS053,dataset,object_count,8623,raw YOLO label rows,yolo_signs_v2,val,,,,,data/yolo_signs_v2/labels/val/*.txt,all nonempty lines; first token class id,VERIFIED_RAW,current disk snapshot; before evaluator duplicate removal
