claim_id,category,claim,value,unit,experiment_version,dataset_split,model,precision,runtime,hardware,source_file,source_location,verification_status,notes
P1-2-Recall@1,phase1_report,W8A8 (SmoothQuant PTQ) Recall@1(%),38.50,%,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 2; column Recall@1(%),VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-2-Latency,phase1_report,W8A8 (SmoothQuant PTQ) Latency(ms),10.29,ms,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 2; column Latency(ms),VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-2-FinalScore,phase1_report,W8A8 (SmoothQuant PTQ) FinalScore,0.8068,score,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 2; column FinalScore,VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-3-Recall@1,phase1_report,FP16 (Baseline) Recall@1(%),39.00,%,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 3; column Recall@1(%),VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-3-Latency,phase1_report,FP16 (Baseline) Latency(ms),6.09,ms,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 3; column Latency(ms),VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-3-FinalScore,phase1_report,FP16 (Baseline) FinalScore,0.8000,score,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 3; column FinalScore,VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-4-Recall@1,phase1_report,W4A16 (QAT) Recall@1(%),34.80,%,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 4; column Recall@1(%),VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-4-Latency,phase1_report,W4A16 (QAT) Latency(ms),9.97,ms,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 4; column Latency(ms),VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-4-FinalScore,phase1_report,W4A16 (QAT) FinalScore,0.7628,score,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 4; column FinalScore,VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
P1-5-Recall@1,phase1_report,W8A8 (QAT) Recall@1(%),36.80,%,Phase1,,ConvNeXtV2-Nano,,,,logs/final_score_report.txt,line 5; column Recall@1(%),VERIFIED_RAW,Saved aggregate report only; latency protocol limitations; not detection/OCR; model label is not proof of runtime arithmetic precision
