claim_id,category,claim,value,unit,experiment_version,dataset_split,model,precision,runtime,hardware,source_file,source_location,verification_status,notes
Q-SIZE-001,artifact_size,Actual ONNX disk bytes,9941944,bytes,filename-specific,not applicable,yolo26n,inspect graph,,,model_space/_spike/yolo26n.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 209, 'INT64': 19}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-002,artifact_size,Actual ONNX disk bytes,2880185,bytes,filename-specific,not applicable,korean_ocr_net_1bit,inspect graph,,,model_space/korean_ocr_net_1bit.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 20}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-003,artifact_size,Actual ONNX disk bytes,2880185,bytes,filename-specific,not applicable,korean_ocr_net_fp32,inspect graph,,,model_space/korean_ocr_net_fp32.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 20}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-004,artifact_size,Actual ONNX disk bytes,749365,bytes,filename-specific,not applicable,korean_ocr_net_int8_dyn,inspect graph,,,model_space/korean_ocr_net_int8_dyn.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 20, 'INT8': 20, 'INT64': 10}; Q=0; DQ=0; ConvInteger=10; measured 2026-09-23, no inference"
Q-SIZE-005,artifact_size,Actual ONNX disk bytes,796892,bytes,filename-specific,not applicable,korean_ocr_net_int8_static,inspect graph,,,model_space/korean_ocr_net_int8_static.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'UINT8': 12, 'FLOAT': 32, 'INT8': 20, 'INT32': 20}; Q=16; DQ=36; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-006,artifact_size,Actual ONNX disk bytes,2880185,bytes,filename-specific,not applicable,korean_ocr_net_w4a16,inspect graph,,,model_space/korean_ocr_net_w4a16.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 20}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-007,artifact_size,Actual ONNX disk bytes,2880185,bytes,filename-specific,not applicable,korean_ocr_net_w8a8,inspect graph,,,model_space/korean_ocr_net_w8a8.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 20}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-008,artifact_size,Actual ONNX disk bytes,59743,bytes,filename-specific,not applicable,korean_sign_net_fp16,inspect graph,,,model_space/korean_sign_net_fp16.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT16': 10}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-009,artifact_size,Actual ONNX disk bytes,116860,bytes,filename-specific,not applicable,korean_sign_net_fp32,inspect graph,,,model_space/korean_sign_net_fp32.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 10}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-010,artifact_size,Actual ONNX disk bytes,37789,bytes,filename-specific,not applicable,korean_sign_net_w8a8,inspect graph,,,model_space/korean_sign_net_w8a8.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 10, 'INT8': 10, 'INT64': 5}; Q=0; DQ=0; ConvInteger=5; measured 2026-09-23, no inference"
Q-SIZE-011,artifact_size,Actual ONNX disk bytes,75736,bytes,filename-specific,not applicable,reid_net_int8_dyn,inspect graph,,,model_space/reid_net_int8_dyn.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 12, 'INT8': 14, 'INT64': 4}; Q=0; DQ=0; ConvInteger=6; measured 2026-09-23, no inference"
Q-SIZE-012,artifact_size,Actual ONNX disk bytes,254465,bytes,filename-specific,not applicable,reid_net_w8a8,inspect graph,,,model_space/reid_net_w8a8.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 12}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-013,artifact_size,Actual ONNX disk bytes,125814,bytes,filename-specific,not applicable,traffic_sign_net_1bit,inspect graph,,,model_space/traffic_sign_net_1bit.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 10}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-014,artifact_size,Actual ONNX disk bytes,125814,bytes,filename-specific,not applicable,traffic_sign_net_fp32,inspect graph,,,model_space/traffic_sign_net_fp32.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 10}; Q=0; DQ=0; ConvInteger=0; measured 2026-09-23, no inference"
Q-SIZE-015,artifact_size,Actual ONNX disk bytes,40485,bytes,filename-specific,not applicable,traffic_sign_net_int8_dyn,inspect graph,,,model_space/traffic_sign_net_int8_dyn.onnx,filesystem stat + graph.initializer/graph.node,VERIFIED_RAW,"dtypes={'FLOAT': 10, 'INT8': 10, 'INT64': 5}; Q=0; DQ=0; ConvInteger=5; measured 2026-09-23, no inference"
