iteration,preprocess_ms,inference_ms,postprocess_ms,detector_total_ms,detection_count
0,3.2999999970197678,107.6000000089407,0,110.90000000596046,2
1,2.5,122.79999999701977,0,125.29999999701977,2
2,2.5,110.09999999403954,0,112.59999999403954,2
3,2.3999999910593033,113.6000000089407,0,116,2
4,17,108.3999999910593,0,125.3999999910593,2
5,2.800000011920929,104.29999999701977,0,107.1000000089407,2
6,2.3999999910593033,103,0.10000000894069672,105.5,2
7,2.3999999910593033,102.6000000089407,0,105,2
8,2.2999999970197678,105.70000000298023,0,108,2
9,2.5,124.8999999910593,0,127.3999999910593,2
10,2.5,112.90000000596046,0,115.40000000596046,2
11,3.4000000059604645,119.19999998807907,0,122.59999999403954,2
12,3.300000011920929,116.29999999701977,0,119.6000000089407,2
13,2.5999999940395355,107.70000000298023,0,110.29999999701977,2
14,2.5,102.20000000298023,0,104.70000000298023,2
15,2.5999999940395355,102.79999999701977,0,105.3999999910593,2
16,2.4000000059604645,103.79999999701977,0,106.20000000298023,2
17,2.9000000059604645,101.3999999910593,0,104.29999999701977,2
18,2.6000000089406967,103.70000000298023,0,106.30000001192093,2
19,2.3999999910593033,101.79999999701977,0,104.19999998807907,2
20,2.4000000059604645,103.90000000596046,0,106.30000001192093,2
21,5,102,0,107,2
22,2.3999999910593033,102.5,0,104.8999999910593,2
23,2.4000000059604645,103,0,105.40000000596046,2
24,2.3999999910593033,105.70000000298023,0,108.09999999403954,2
25,2.4000000059604645,102.3999999910593,0,104.79999999701977,2
26,2.5,101.90000000596046,0,104.40000000596046,2
27,2.2999999970197678,102.40000000596046,0,104.70000000298023,2
28,2.2999999970197678,102,0,104.29999999701977,2
29,3,102.79999999701977,0,105.79999999701977,2
30,6,105.29999999701977,0,111.29999999701977,2
31,2.4000000059604645,103.09999999403954,0,105.5,2
32,2.4000000059604645,102,0,104.40000000596046,2
33,2.4000000059604645,101.79999999701977,0,104.20000000298023,2
34,2.5999999940395355,101.90000000596046,0,104.5,2
35,2.3999999910593033,102.20000000298023,0,104.59999999403954,2
36,2.4000000059604645,102.20000000298023,0,104.6000000089407,2
37,2.3999999910593033,103.1000000089407,0,105.5,2
38,2.3999999910593033,102.90000000596046,0,105.29999999701977,2
39,2.5,101.59999999403954,0,104.09999999403954,2
40,5.299999997019768,102.6000000089407,0,107.90000000596046,2
41,2.3999999910593033,102.30000001192093,0,104.70000000298023,2
42,2.5,101.3999999910593,0,103.8999999910593,2
43,2.5,101.5,0,104,2
44,2.5,101.79999999701977,0,104.29999999701977,2
45,2.6000000089406967,105.5,0,108.1000000089407,2
46,2.5999999940395355,101.79999999701977,0,104.3999999910593,2
47,2.4000000059604645,102,0,104.40000000596046,2
48,2.4000000059604645,103.09999999403954,0,105.5,2
49,5.0999999940395355,101.5,0,106.59999999403954,2
