iteration,preprocess_ms,inference_ms,postprocess_ms,detector_total_ms,detection_count
0,3.1000000089406967,142.79999999701977,0,145.90000000596046,2
1,3,138.20000000298023,0,141.20000000298023,2
2,3.2000000029802322,150.5,0,153.70000000298023,2
3,3.5,170.90000000596046,0,174.40000000596046,2
4,2.5999999940395355,153.5,0,156.09999999403954,2
5,3.2999999970197678,167.40000000596046,0,170.70000000298023,2
6,3.2999999970197678,140.29999999701977,0,143.59999999403954,2
7,3,138,0,141,2
8,2.5,142.20000000298023,0,144.70000000298023,2
9,2.4000000059604645,141.8999999910593,0,144.29999999701977,2
10,2.4000000059604645,142,0,144.40000000596046,2
11,3,141.20000000298023,0,144.20000000298023,2
12,2.5,138.8999999910593,0,141.3999999910593,2
13,2.5,137.5,0,140,2
14,2.5,142.90000000596046,0,145.40000000596046,2
15,3.5999999940395355,138,0,141.59999999403954,2
16,2.4000000059604645,137.70000000298023,0,140.1000000089407,2
17,2.3999999910593033,137.6000000089407,0,140,2
18,2.5999999940395355,137.59999999403954,0,140.19999998807907,2
19,2.4000000059604645,138.09999999403954,0,140.5,2
20,2.6000000089406967,137.79999999701977,0,140.40000000596046,2
21,3,137.5,0,140.5,2
22,2.4000000059604645,139.29999999701977,0,141.70000000298023,2
23,2.5999999940395355,138.90000000596046,0,141.5,2
24,2.3999999910593033,139.90000000596046,0,142.29999999701977,2
25,6,137.90000000596046,0,143.90000000596046,2
26,2.3999999910593033,137.90000000596046,0,140.29999999701977,2
27,2.5999999940395355,137.70000000298023,0,140.29999999701977,2
28,2.5,137.5,0,140,2
29,3,137.90000000596046,0,140.90000000596046,2
30,2.2999999970197678,137.3999999910593,0,139.69999998807907,2
31,2.6000000089406967,137.70000000298023,0,140.30000001192093,2
32,2.5999999940395355,137.70000000298023,0,140.29999999701977,2
33,2.3999999910593033,137.90000000596046,0,140.29999999701977,2
34,6,138.29999999701977,0,144.29999999701977,2
35,2.6000000089406967,137.5,0,140.1000000089407,2
36,2.3999999910593033,137.40000000596046,0,139.79999999701977,2
37,2.3999999910593033,137.40000000596046,0,139.79999999701977,2
38,2.4000000059604645,138.09999999403954,0,140.5,2
39,2.2999999970197678,138.40000000596046,0,140.70000000298023,2
40,2.3999999910593033,137.70000000298023,0,140.09999999403954,2
41,2.5,138.90000000596046,0,141.40000000596046,2
42,2.5,141.59999999403954,0,144.09999999403954,2
43,2.4000000059604645,138.3999999910593,0,140.79999999701977,2
44,5.4000000059604645,139.70000000298023,0,145.1000000089407,2
45,2.5999999940395355,139.6000000089407,0,142.20000000298023,2
46,2.5,145.3999999910593,0,147.8999999910593,2
47,2.5,144,0,146.5,2
48,2.5,148.29999999701977,0,150.79999999701977,2
49,2.2999999970197678,155.29999999701977,0,157.59999999403954,2
