frame,detections,det_prepare_ms,det_ms,decode_ms,rec_prepare_ms,rec_ms,total_ms
20,0,1.4249999523162842,169.70000004768372,0,0,0,171.125
21,0,1.1749999523162842,169.0899999141693,0.005000114440917969,0,0,170.2699999809265
22,1,1.2300000190734863,168.68499994277954,0.005000114440917969,0.4549999237060547,0.38000011444091797,170.75500011444092
23,0,1.2599999904632568,168.23499989509583,0.005000114440917969,0,0,169.5
24,4,1.2350001335144043,168.45499992370605,0,0.2999999523162842,1.065000057220459,171.0550000667572
25,4,1.2149999141693115,168.02500009536743,0,0.08999991416931152,1.0049998760223389,170.3349997997284
26,1,1.2000000476837158,167.875,0,0.039999961853027344,0.3250000476837158,169.44000005722046
27,0,1.3299999237060547,168.16499996185303,0.005000114440917969,0,0,169.5
28,0,1.2750000953674316,167.84999990463257,0,0,0,169.125
29,0,1.2800002098083496,167.79999995231628,0,0,0,169.08000016212463
30,3,1.3650000095367432,168.94000005722046,0,0.07999992370605469,0.7850000858306885,171.17000007629395
31,5,1.2350001335144043,167.29499983787537,0,0.9650001525878906,1.244999885559082,170.74000000953674
32,5,1.315000057220459,167.99000000953674,0,0.09999990463256836,1.2750000953674316,170.6800000667572
33,4,1.2450001239776611,167.5699999332428,0,0.9249999523162842,1.0250000953674316,170.76500010490417
34,2,1.3100001811981201,167.625,0,0.039999961853027344,0.5499999523162842,169.52500009536743
35,2,1.190000057220459,168.34499979019165,0,0.8450000286102295,0.6050000190734863,170.98499989509583
36,1,1.3050000667572021,167.82500004768372,0,0.029999971389770508,0.36500000953674316,169.52500009536743
37,0,1.2200000286102295,169.5349998474121,0.009999990463256836,0,0,170.7649998664856
38,0,1.2899999618530273,167.6650002002716,0.004999876022338867,0,0,168.96000003814697
39,0,1.2849998474121094,168.2150001525879,0,0,0,169.5
40,0,1.375,168.2099997997284,0.005000114440917969,0,0,169.5899999141693
41,0,1.3450000286102295,167.9650001525879,0,0,0,169.31000018119812
42,1,1.2149999141693115,167.24000000953674,0,0.4850001335144043,0.3599998950958252,169.29999995231628
43,1,1.2050001621246338,168.42999982833862,0,0.08000016212463379,0.3399999141693115,170.0550000667572
44,2,1.2249999046325684,167.50999999046326,0,0.039999961853027344,0.5750000476837158,169.34999990463257
45,2,1.1749999523162842,167.85000014305115,0.004999876022338867,0.05000019073486328,0.5399999618530273,169.62000012397766
46,3,1.2850000858306885,168.1449999809265,0,0.059999942779541016,0.7750000953674316,170.26500010490417
47,3,1.2750000953674316,171.3050000667572,0,0.06499981880187988,0.815000057220459,173.46000003814697
48,2,1.2450001239776611,168.42499995231628,0.005000114440917969,0.8399999141693115,0.559999942779541,171.07500004768372
49,0,1.2699999809265137,168.04500007629395,0.004999876022338867,0,0,169.3199999332428
50,0,1.2250001430511475,168.38499999046326,0,0,0,169.6100001335144
51,0,1.2650001049041748,168.70499992370605,0,0,0,169.97000002861023
52,0,1.2950000762939453,168.27999997138977,0,0,0,169.57500004768372
53,2,1.4000000953674316,171.0349998474121,0,1.4100000858306885,0.6150000095367432,174.46000003814697
54,4,1.244999885559082,170.9800000190735,0,0.07500004768371582,1.059999942779541,173.35999989509583
55,6,1.315000057220459,168.49499988555908,0,0.12000012397766113,1.4649999141693115,171.3949999809265
56,3,1.2299997806549072,168.1050000190735,0.005000114440917969,0.8299999237060547,0.809999942779541,170.9799997806549
57,0,1.315000057220459,169.84500002861023,0,0,0,171.1600000858307
58,0,1.1949999332427979,168.4449999332428,0,0,0,169.6399998664856
59,0,1.2099997997283936,169.06500005722046,0,0,0,170.27499985694885
60,0,1.304999828338623,168.83000016212463,0,0,0,170.13499999046326
61,0,1.380000114440918,167.99499988555908,0,0,0,169.375
62,0,1.2250001430511475,171.09500002861023,0,0,0,172.32000017166138
63,0,1.2699999809265137,168.2849998474121,0.005000114440917969,0,0,169.55999994277954
64,0,1.2799999713897705,170.04999995231628,0.005000114440917969,0,0,171.33500003814697
65,0,1.255000114440918,173.42999982833862,0,0,0,174.68499994277954
66,0,1.2100000381469727,168.43499994277954,0,0,0,169.6449999809265
67,0,1.4500000476837158,167.6599998474121,0,0,0,169.10999989509583
68,0,1.2149999141693115,169.49499988555908,0.005000114440917969,0,0,170.7149999141693
69,0,1.2200000286102295,167.68499994277954,0,0,0,168.90499997138977
70,0,1.1750001907348633,169.00499987602234,0,0,0,170.1800000667572
71,0,1.2100000381469727,168.67499995231628,0,0,0,169.88499999046326
72,0,1.2049999237060547,167.4300000667572,0,0,0,168.63499999046326
73,0,1.1949999332427979,168.65499997138977,0,0,0,169.84999990463257
74,0,1.2349998950958252,167.6449999809265,0,0,0,168.87999987602234
75,0,1.4100000858306885,167.95499992370605,0,0,0,169.36500000953674
76,0,1.1749999523162842,168.53999996185303,0.004999876022338867,0,0,169.71999979019165
77,1,1.2149999141693115,168.3600001335144,0.004999876022338867,0.4550001621246338,0.36500000953674316,170.40000009536743
78,1,1.2799999713897705,168.03999996185303,0,0.08000016212463379,0.3249998092651367,169.72499990463257
79,4,1.2699999809265137,168.87000012397766,0,0.06999993324279785,0.994999885559082,171.20499992370605
80,4,1.2249999046325684,167.6050000190735,0.005000114440917969,0.08500003814697266,0.9799997806549072,169.89999985694885
81,5,1.2349998950958252,167.97000002861023,0.019999980926513672,0.09500002861022949,1.2599999904632568,170.57999992370605
82,5,1.3500001430511475,170.02499985694885,0,0.12000012397766113,1.2349998950958252,172.7300000190735
83,4,1.3050000667572021,167.67499995231628,0,0.9100000858306885,1.0099999904632568,170.90000009536743
84,3,1.3199999332427979,167.99500012397766,0,0.05499982833862305,0.7750000953674316,170.1449999809265
85,4,1.1949999332427979,168.4100000858307,0.004999876022338867,1.0600001811981201,1.0149998664855957,171.68499994277954
86,3,1.3250000476837158,167.77500009536743,0,0.05499982833862305,0.8300001621246338,169.9850001335144
87,3,1.255000114440918,169.53999996185303,0.004999876022338867,0.8600001335144043,0.804999828338623,172.4649999141693
88,2,1.3299999237060547,172.8050000667572,0,0.04499983787536621,0.625,174.80499982833862
89,2,1.2749998569488525,169.71000003814697,0,0.8299999237060547,0.6100001335144043,172.42499995231628
90,0,1.4500000476837158,170.4850001335144,0,0,0,171.93500018119812
91,1,1.2599999904632568,171.3400001525879,0,0.434999942779541,0.38499999046325684,173.42000007629395
92,1,1.25,170.79500007629395,0,0.07500004768371582,0.375,172.49500012397766
93,1,1.3599998950958252,170.7300000190735,0,0.02500009536743164,0.3599998950958252,172.47499990463257
94,0,1.3450000286102295,168.24000000953674,0,0,0,169.58500003814697
95,0,1.2999999523162842,172.6800000667572,0.004999876022338867,0,0,173.98499989509583
96,0,1.2249999046325684,169.26500010490417,0,0,0,170.49000000953674
97,0,1.2650001049041748,170.29999995231628,0,0,0,171.56500005722046
98,0,1.2850000858306885,168.81500005722046,0.004999876022338867,0,0,170.1050000190735
99,1,1.3600001335144043,171.18499994277954,0,0.46000003814697266,0.4100000858306885,173.4150002002716
100,1,1.3949999809265137,169.30000019073486,0,0.08500003814697266,0.34999990463256836,171.13000011444092
101,2,1.309999942779541,166.66499996185303,0,0.05000019073486328,0.5799999237060547,168.6050000190735
102,1,1.1550002098083496,166.22499990463257,0,0.019999980926513672,0.315000057220459,167.7150001525879
103,1,1.2599999904632568,168.84999990463257,0,0.02500009536743164,0.3450000286102295,170.4800000190735
104,1,1.2200000286102295,167.29999995231628,0,0.034999847412109375,0.3900001049041748,168.9449999332428
105,1,1.25,166.29499983787537,0,0.039999961853027344,0.315000057220459,167.89999985694885
106,1,1.2100000381469727,167.14000010490417,0,0.034999847412109375,0.3250000476837158,168.71000003814697
107,1,1.4200000762939453,165.8949999809265,0,0.029999971389770508,0.309999942779541,167.65499997138977
108,1,1.190000057220459,166.52999997138977,0,0.434999942779541,0.48000001907348633,168.63499999046326
109,0,1.2750000953674316,167.54999995231628,0,0,0,168.82500004768372
110,1,1.2699999809265137,168.02499985694885,0,0.09000015258789062,0.31999993324279785,169.70499992370605
111,0,1.244999885559082,169.04500007629395,0,0,0,170.28999996185303
112,0,1.25,168.67499995231628,0,0,0,169.92499995231628
113,3,1.2300000190734863,167.88499999046326,0.005000114440917969,0.05499982833862305,0.7699999809265137,169.9449999332428
114,1,1.3050000667572021,168.7850000858307,0,0.029999971389770508,0.34999990463256836,170.47000002861023
115,1,1.2549998760223389,167.5900001525879,0.004999876022338867,0.43000006675720215,0.34999990463256836,169.62999987602234
116,2,1.2199997901916504,167.44000005722046,0,0.125,0.5499999523162842,169.3349997997284
117,1,1.2699999809265137,168.95499992370605,0,0.029999971389770508,0.36500000953674316,170.61999988555908
118,1,1.2000000476837158,170.41499996185303,0,0.46000003814697266,0.4549999237060547,172.52999997138977
119,2,1.2249999046325684,168.02999997138977,0,0.1100001335144043,0.6099998950958252,169.97499990463257
120,3,1.2300000190734863,168.5199999809265,0,0.04999995231628418,0.7750000953674316,170.57500004768372
121,1,1.2149999141693115,167.22000002861023,0,0.4249999523162842,0.33500003814697266,169.1949999332428
122,1,1.2249999046325684,168.17499995231628,0,0.07000017166137695,0.3399999141693115,169.80999994277954
123,1,1.4249999523162842,173.5149998664856,0,0.019999980926513672,0.3900001049041748,175.34999990463257
124,3,1.2350001335144043,171.4099998474121,0,0.8900001049041748,0.804999828338623,174.3399999141693
125,4,1.3050000667572021,170.5350000858307,0,0.08500003814697266,1.0299999713897705,172.95500016212463
126,6,1.244999885559082,171.45500016212463,0,0.9600000381469727,1.4799997806549072,175.1399998664856
127,4,1.429999828338623,168.44000005722046,0,0.06999993324279785,1.005000114440918,170.9449999332428
128,6,1.244999885559082,168.14000010490417,0,0.9800000190734863,1.5799999237060547,171.9449999332428
129,3,1.3050000667572021,170.375,0.005000114440917969,0.06999993324279785,0.8450000286102295,172.60000014305115
130,4,1.2899999618530273,168.31000018119812,0,0.9099998474121094,1.0399999618530273,171.54999995231628
131,2,1.2999999523162842,167.59500002861023,0,0.04500007629394531,0.559999942779541,169.5
132,0,1.2200000286102295,166.83000016212463,0,0,0,168.05000019073486
133,1,1.2750000953674316,168.73499989509583,0,0.440000057220459,0.3599998950958252,170.80999994277954
134,1,1.2599999904632568,168.63499999046326,0,0.06500005722045898,0.3299999237060547,170.28999996185303
135,0,1.3849999904632568,168.63499999046326,0,0,0,170.0199999809265
136,2,1.2849998474121094,169.2699999809265,0,0.8550000190734863,0.5950000286102295,172.00499987602234
137,2,1.4199998378753662,172.27500009536743,0,0.04500007629394531,0.5699999332427979,174.30999994277954
138,6,1.2799999713897705,172.74000000953674,0,1.1200001239776611,1.4749999046325684,176.61500000953674
139,6,1.375,170.92499995231628,0,0.12999987602233887,1.4550001621246338,173.88499999046326
140,1,1.2250001430511475,170.64999985694885,0,0.440000057220459,0.35500001907348633,172.67000007629395
141,2,1.2100000381469727,168.8550000190735,0,0.11500000953674316,0.6050000190734863,170.7850000858307
