class_id,class_name,correct,total,accuracy
0,속도제한30,76,118,0.6440677966101694
1,속도제한40,17,30,0.5666666666666667
2,속도제한50,127,163,0.7791411042944786
3,속도제한60,75,107,0.7009345794392523
4,속도제한70,15,42,0.35714285714285715
5,속도제한80,7,32,0.21875
6,규제표지,958,1190,0.8050420168067227
7,지시표지,1234,1324,0.93202416918429
8,주의표지,269,359,0.7493036211699164
9,신호등_빨강,1021,1315,0.776425855513308
10,신호등_초록,991,1190,0.8327731092436975
11,신호등_노랑,125,152,0.8223684210526315
12,신호등_좌회전,217,269,0.8066914498141264
13,신호등_기타,340,480,0.7083333333333334
