surface,model,status,mean_ms,p50_ms,p95_ms,fps,session_init_ms,model_download_ms,first_inference_ms,reason
ORT CPU,fp32,completed,16.114897999505047,15.316850003728177,20.19122999845422,62.05437974417921,45.54380000627134,,15.396799994050525,
ORT CPU,fp16,completed,22.693799999833573,23.505600009229966,26.54603500777739,44.06489878325065,71.37639999564271,,15.939700009766966,
ORT CPU,full_qdq,completed,19.803615999262547,19.91099998849677,21.77195499680238,50.495828642468034,93.89809999265708,,20.368800003780052,
ORT CPU,head_excluded_qdq,completed,21.552698999876156,21.64325000194367,23.37965499027632,46.39790125616036,84.8827000008896,,21.118799995747395,
Chrome WASM,fp32,completed,144.15,141.39999999850988,156.92499999403952,6.93721817551162,1689.5,31.600000008940697,235.69999998807907,
Chrome WASM,fp16,completed,154.5339999997616,152.25,164.0549999989569,6.471067855627517,1585.5,10.899999991059303,248.19999998807907,
Chrome WASM,full_qdq,completed,108.76399999976158,106.29999999701977,121.22499999776483,9.194218675317128,1778.9000000059605,7.399999991059303,224.29999999701977,
Chrome WASM,head_excluded_qdq,completed,107.69799999982119,105.15000000596046,117.95499999970197,9.28522349534495,1666.4000000059605,7.5,203.29999999701977,
Chrome WebGPU,fp32,completed,77.46200000017882,77.40000000596046,79,12.909555653064618,1507.2999999970198,20.100000008940697,1183.5,
Chrome WebGPU,fp16,completed,100.76599999994039,100.44999999552965,106.3399999976158,9.923982295621455,1455.5,8.799999997019768,1541.4000000059605,
Chrome WebGPU,full_qdq,unsupported,,,,,2001.2999999970198,8.200000002980232,,"Error: [WebGPU] Kernel ""[DequantizeLinear] model.0.conv.bias_DequantizeLinear"" failed. Error: In the case of dequantizing int32 there is no zero point.
    at Object._OrtRun (https"
Chrome WebGPU,head_excluded_qdq,unsupported,,,,,1668.5,25.100000008940697,,"Error: [WebGPU] Kernel ""[DequantizeLinear] model.0.conv.bias_DequantizeLinear"" failed. Error: In the case of dequantizing int32 there is no zero point.
    at Object._OrtRun (https"
