epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.307,1.43468,2.43203,1.29844,0.51318,0.36463,0.36495,0.22146,1.28894,1.87884,1.40276,0.00332937,0.00332937,0.00332937
2,241.78,1.38404,1.73131,1.23308,0.55793,0.33985,0.36697,0.21389,1.33946,1.83177,1.4216,0.00666107,0.00666107,0.00666107
3,354.028,1.45349,1.67511,1.27838,0.59087,0.3064,0.27002,0.15311,1.46048,2.12726,1.5194,0.00998627,0.00998627,0.00998627
4,466.159,1.48405,1.66389,1.30125,0.52341,0.38424,0.38755,0.23724,1.34653,1.69673,1.44401,0.00997803,0.00997803,0.00997803
5,577.924,1.41374,1.5678,1.27092,0.54963,0.39238,0.39283,0.24271,1.25863,1.68688,1.35679,0.00996097,0.00996097,0.00996097
6,690.064,1.36336,1.49802,1.2466,0.5932,0.40007,0.43162,0.2716,1.20585,1.59562,1.33171,0.00993906,0.00993906,0.00993906
7,802.076,1.33225,1.45211,1.22828,0.59492,0.4086,0.44418,0.28096,1.19582,1.53212,1.32053,0.00991232,0.00991232,0.00991232
8,916.408,1.30645,1.4267,1.21452,0.58763,0.41815,0.45596,0.29586,1.14251,1.51513,1.29406,0.00988079,0.00988079,0.00988079
9,1030.77,1.28742,1.39709,1.2075,0.61159,0.41463,0.47007,0.30049,1.12298,1.46151,1.27452,0.00984449,0.00984449,0.00984449
10,1147.88,1.27301,1.37457,1.19746,0.60529,0.43694,0.47697,0.31507,1.08883,1.43463,1.25318,0.00980345,0.00980345,0.00980345
11,1263.29,1.26276,1.3603,1.1891,0.64121,0.43194,0.48011,0.31713,1.08243,1.41508,1.25327,0.00975773,0.00975773,0.00975773
12,1377.55,1.24448,1.3422,1.18358,0.63212,0.43194,0.49433,0.32882,1.07421,1.39021,1.24345,0.00970736,0.00970736,0.00970736
13,1490.64,1.23927,1.32969,1.18285,0.64429,0.43671,0.49794,0.32912,1.05013,1.36506,1.22398,0.00965239,0.00965239,0.00965239
14,1604.09,1.2271,1.31264,1.17904,0.63813,0.44184,0.50321,0.33767,1.03559,1.3426,1.23099,0.00959289,0.00959289,0.00959289
15,1717.48,1.22023,1.30135,1.17183,0.66273,0.4482,0.51375,0.34145,1.03195,1.32942,1.22513,0.00952889,0.00952889,0.00952889
16,1830.57,1.22226,1.30178,1.17296,0.6472,0.45148,0.51768,0.34476,1.01949,1.32529,1.2124,0.00946048,0.00946048,0.00946048
17,1946.67,1.20993,1.28642,1.16968,0.63669,0.4536,0.51375,0.34871,1.00459,1.30963,1.19855,0.00938772,0.00938772,0.00938772
18,2064.12,1.20256,1.27962,1.16646,0.64982,0.45671,0.5231,0.35237,0.99277,1.2973,1.19423,0.00931067,0.00931067,0.00931067
19,2181.93,1.19352,1.26623,1.15896,0.63517,0.46307,0.52429,0.35326,0.97903,1.29099,1.18542,0.00922942,0.00922942,0.00922942
20,2300.1,1.19066,1.26798,1.15997,0.64082,0.47022,0.52752,0.35958,0.97979,1.27876,1.18927,0.00914405,0.00914405,0.00914405
21,2417.64,1.18875,1.25475,1.15502,0.64391,0.47321,0.53206,0.36153,0.97522,1.26911,1.18235,0.00905463,0.00905463,0.00905463
22,2534.07,1.18123,1.24862,1.15554,0.63819,0.47192,0.53013,0.36247,0.96921,1.26398,1.18075,0.00896127,0.00896127,0.00896127
23,2650.55,1.17735,1.248,1.15216,0.65175,0.46251,0.53307,0.36396,0.9613,1.25749,1.17502,0.00886404,0.00886404,0.00886404
24,2767.59,1.1688,1.24065,1.14585,0.66499,0.46886,0.53725,0.36887,0.95548,1.25243,1.16934,0.00876305,0.00876305,0.00876305
25,2885.28,1.16797,1.23493,1.14655,0.6768,0.47161,0.54339,0.37141,0.95484,1.24453,1.17053,0.00865839,0.00865839,0.00865839
26,3002.86,1.16808,1.22834,1.14781,0.6642,0.48435,0.54458,0.37439,0.95217,1.24002,1.17012,0.00855018,0.00855018,0.00855018
27,3120.63,1.16231,1.21089,1.14118,0.6667,0.48057,0.54665,0.37746,0.94342,1.23106,1.16419,0.00843851,0.00843851,0.00843851
28,3238,1.15866,1.21717,1.1436,0.67083,0.48018,0.54715,0.37769,0.94163,1.22619,1.16348,0.00832349,0.00832349,0.00832349
29,3351.81,1.15425,1.21794,1.14335,0.66051,0.48822,0.54968,0.37858,0.94011,1.22347,1.16111,0.00820525,0.00820525,0.00820525
30,3465.5,1.14788,1.20208,1.13714,0.6728,0.48372,0.55141,0.38074,0.93689,1.21743,1.15921,0.00808389,0.00808389,0.00808389
31,3579.18,1.15237,1.20692,1.13953,0.65622,0.48767,0.5511,0.38072,0.93563,1.21722,1.15774,0.00795954,0.00795954,0.00795954
32,3693.11,1.14737,1.1922,1.13553,0.66688,0.48376,0.55214,0.38081,0.93618,1.21528,1.15848,0.00783231,0.00783231,0.00783231
33,3806.84,1.13628,1.18822,1.13229,0.66867,0.4802,0.55322,0.38298,0.93476,1.214,1.15742,0.00770234,0.00770234,0.00770234
34,3920.98,1.13551,1.1894,1.13194,0.66722,0.48563,0.55384,0.38367,0.93273,1.21072,1.1568,0.00756976,0.00756976,0.00756976
35,4033.16,1.13561,1.18446,1.13111,0.67253,0.48712,0.55676,0.38445,0.93109,1.20788,1.15574,0.00743468,0.00743468,0.00743468
36,4148.87,1.12707,1.17952,1.12997,0.68027,0.48246,0.55628,0.38467,0.92821,1.2057,1.15459,0.00729725,0.00729725,0.00729725
37,4261.96,1.13253,1.18459,1.13174,0.68398,0.48296,0.557,0.38547,0.92525,1.20426,1.15282,0.00715761,0.00715761,0.00715761
38,4374.54,1.12146,1.16905,1.12364,0.69705,0.47975,0.55791,0.38578,0.92438,1.20314,1.15219,0.00701588,0.00701588,0.00701588
39,4489.48,1.12074,1.16701,1.12485,0.70365,0.47972,0.55844,0.3862,0.92343,1.2017,1.15153,0.00687222,0.00687222,0.00687222
40,4604.39,1.12172,1.16038,1.12597,0.69861,0.47955,0.55765,0.38644,0.9228,1.20057,1.15101,0.00672675,0.00672675,0.00672675
41,4722.08,1.11658,1.15865,1.12058,0.69615,0.48133,0.55902,0.38693,0.92139,1.19921,1.14967,0.00657963,0.00657963,0.00657963
42,4837.47,1.11149,1.15092,1.11865,0.69287,0.48427,0.55902,0.38748,0.9206,1.1976,1.14905,0.00643101,0.00643101,0.00643101
43,4950.07,1.10468,1.14602,1.11525,0.68949,0.48589,0.55949,0.38834,0.91972,1.19646,1.14854,0.00628101,0.00628101,0.00628101
44,5064.8,1.10811,1.14232,1.12009,0.68978,0.48655,0.55986,0.38865,0.91907,1.19561,1.14789,0.00612981,0.00612981,0.00612981
